Time / sec	Linewidth / MHz
1415.743000	0.050424
1416.743000	0.052249
1417.743000	0.054310
1418.743000	0.054560
1419.744000	0.057486
1420.744000	0.055003
1421.744000	0.056094
1422.744000	0.056158
1423.742000	0.056780
1424.742000	0.061606
1425.740000	0.056549
1426.738000	0.062309
1427.737000	0.056712
1428.735000	0.056843
1429.736000	0.056119
1430.734000	0.056711
1431.733000	0.055492
1432.732000	0.053370
1433.732000	0.051976
1434.729000	0.048235
1435.731000	0.046314
1436.731000	0.046194
1437.730000	0.045161
1438.730000	0.044645
1439.730000	0.046500
1440.731000	0.047240
1441.733000	0.043782
1442.735000	0.044954
1443.734000	0.043611
1444.734000	0.045841
1445.734000	0.044342
1446.736000	0.043851
1447.738000	0.044389
1448.737000	0.045331
1449.738000	0.043830
1450.739000	0.043592
1451.741000	0.045888
1452.743000	0.045081
1453.744000	0.043724
1454.747000	0.046400
1455.748000	0.044693
1456.750000	0.044213
1457.751000	0.044479
1458.752000	0.045710
1459.752000	0.045482
1460.754000	0.045711
1461.754000	0.045858
1462.754000	0.044837
1463.754000	0.044838
1464.754000	0.046794
1465.754000	0.045577
1466.753000	0.044274
1467.755000	0.044536
1468.756000	0.044118
1469.758000	0.045931
1470.759000	0.045863
1471.760000	0.046440
1472.761000	0.046645
1473.762000	0.044317
1474.763000	0.047430
1475.762000	0.044008
1476.764000	0.046784
1477.765000	0.044713
1478.767000	0.045206
1479.768000	0.046458
1480.768000	0.046792
1481.770000	0.045427
1482.769000	0.044681
1483.768000	0.043351
1484.770000	0.043991
1485.771000	0.043919
1486.772000	0.046077
1487.774000	0.043808
1488.775000	0.044184
1489.775000	0.044292
1490.775000	0.044418
1491.776000	0.045429
1492.778000	0.045788
1493.778000	0.047255
1494.779000	0.045884
1495.781000	0.045955
1496.782000	0.046048
1497.782000	0.049381
1498.783000	0.047936
1499.782000	0.046794
1500.784000	0.046041
1501.784000	0.046943
1502.782000	0.049324
1503.783000	0.047523
1504.784000	0.048820
1505.784000	0.049255
1506.784000	0.048543
1507.785000	0.048698
1508.783000	0.048854
1509.784000	0.049102
1510.783000	0.048191
1511.784000	0.049875
1512.783000	0.051037
1513.784000	0.048124
1514.784000	0.050070
1515.783000	0.049274
1516.783000	0.052408
1517.783000	0.051608
1518.782000	0.055835
1519.780000	0.053558
1520.780000	0.055182
1521.780000	0.054755
1522.778000	0.055639
1523.777000	0.054864
1524.777000	0.054361
1525.774000	0.055065
1526.773000	0.055291
1527.772000	0.056963
1528.772000	0.056205
1529.771000	0.057447
1530.769000	0.057202
1531.768000	0.056320
1532.766000	0.055791
1533.766000	0.057069
1534.764000	0.057579
1535.764000	0.056921
1536.765000	0.055504
1537.765000	0.055862
1538.765000	0.054703
1539.766000	0.059063
1540.766000	0.056349
1541.765000	0.056458
1542.766000	0.055828
1543.767000	0.056143
1544.767000	0.057309
1545.768000	0.059012
1546.766000	0.057825
1547.765000	0.057049
1548.764000	0.057035
1549.763000	0.057986
1550.762000	0.056353
1551.762000	0.056490
1552.761000	0.055720
1553.760000	0.056761
1554.758000	0.056697
1555.760000	0.057356
1556.759000	0.058072
1557.757000	0.055624
1558.758000	0.055936
1559.756000	0.055485
1560.755000	0.054792
1561.755000	0.055225
1562.755000	0.054493
1563.755000	0.054919
1564.756000	0.056160
1565.755000	0.055527
1566.755000	0.056322
1567.755000	0.055434
1568.755000	0.055885
1569.754000	0.055359
1570.755000	0.054596
1571.754000	0.053677
1572.754000	0.055961
1573.753000	0.054664
1574.751000	0.053702
1575.750000	0.054499
1576.750000	0.052551
1577.752000	0.050095
1578.751000	0.052495
1579.750000	0.051784
1580.751000	0.053954
1581.752000	0.049510
1582.751000	0.047894
1583.752000	0.051470
1584.752000	0.049943
1585.754000	0.048170
1586.757000	0.048799
1587.756000	0.049540
1588.758000	0.048274
1589.758000	0.050754
1590.756000	0.051743
1591.757000	0.050622
1592.756000	0.050797
1593.755000	0.051137
1594.754000	0.049412
1595.755000	0.049922
1596.756000	0.047650
1597.756000	0.047739
1598.756000	0.047327
1599.756000	0.047659
1600.755000	0.050742
1601.755000	0.047661
1602.755000	0.049110
1603.755000	0.053131
1604.754000	0.047741
1605.754000	0.048319
1606.755000	0.048397
1607.755000	0.049715
1608.755000	0.047733
1609.757000	0.050190
1610.754000	0.053240
1611.756000	0.050749
1612.754000	0.050432
1613.754000	0.052690
1614.754000	0.052500
1615.754000	0.053112
1616.754000	0.054503
1617.755000	0.056146
1618.753000	0.054854
1619.752000	0.052896
1620.752000	0.051717
1621.751000	0.051247
1622.751000	0.050416
1623.753000	0.051009
1624.754000	0.051066
1625.754000	0.050761
1626.753000	0.052145
1627.752000	0.053462
1628.750000	0.054648
1629.749000	0.053050
1630.749000	0.056615
1631.749000	0.051596
1632.748000	0.050362
1633.747000	0.050459
1634.747000	0.048194
1635.749000	0.048976
1636.750000	0.049026
1637.749000	0.048347
1638.749000	0.050343
1639.747000	0.049983
1640.747000	0.050403
1641.745000	0.052838
1642.745000	0.052074
1643.746000	0.053260
1644.746000	0.053202
1645.746000	0.054893
1646.747000	0.054790
1647.748000	0.054471
1648.746000	0.054285
1649.749000	0.055888
1650.749000	0.055594
1651.748000	0.053286
1652.747000	0.053737
1653.747000	0.055183
1654.747000	0.053383
1655.746000	0.051825
1656.745000	0.052167
1657.745000	0.050409
1658.747000	0.049762
1659.747000	0.049069
1660.745000	0.048005
1661.746000	0.046836
1662.747000	0.045352
1663.748000	0.046421
1664.750000	0.046768
1665.752000	0.048384
1666.753000	0.046385
1667.752000	0.048084
1668.751000	0.052976
1669.753000	0.057380
1670.757000	0.056736
1671.759000	0.059750
1672.759000	0.057652
1673.758000	0.057353
1674.760000	0.056759
1675.761000	0.057141
1676.761000	0.055765
1677.762000	0.051686
1678.761000	0.053040
1679.759000	0.054130
1680.757000	0.050519
1681.757000	0.045826
1682.756000	0.047481
1683.758000	0.044369
1684.758000	0.044177
1685.759000	0.044587
1686.759000	0.048749
1687.760000	0.045802
1688.759000	0.048751
1689.759000	0.048229
1690.760000	0.052345
1691.757000	0.055856
1692.759000	0.053001
1693.758000	0.054814
1694.757000	0.057356
1695.755000	0.057456
1696.756000	0.059386
1697.754000	0.056810
1698.754000	0.059000
1699.755000	0.060173
1700.755000	0.054502
1701.753000	0.056901
1702.752000	0.052444
1703.749000	0.053571
1704.747000	0.050595
1705.748000	0.047850
1706.748000	0.048843
1707.747000	0.048819
1708.749000	0.048693
1709.750000	0.047135
1710.751000	0.048826
1711.751000	0.048330
1712.750000	0.047953
1713.751000	0.046565
1714.752000	0.047520
1715.753000	0.047021
1716.755000	0.046484
1717.756000	0.047856
1718.756000	0.048561
1719.758000	0.051559
1720.758000	0.051836
1721.758000	0.047450
1722.758000	0.047713
1723.759000	0.047658
1724.758000	0.046570
1725.758000	0.048732
1726.757000	0.046882
1727.757000	0.047368
1728.756000	0.045836
1729.759000	0.051128
1730.758000	0.046783
1731.760000	0.048188
1732.760000	0.044996
1733.760000	0.045592
1734.762000	0.046651
1735.762000	0.046379
1736.762000	0.044556
1737.763000	0.044721
1738.763000	0.043754
1739.766000	0.045769
1740.768000	0.046543
1741.770000	0.045422
1742.771000	0.044508
1743.773000	0.048070
1744.774000	0.049611
1745.774000	0.045681
1746.774000	0.046398
1747.775000	0.047304
1748.776000	0.045737
1749.776000	0.045826
1750.777000	0.048846
1751.777000	0.046620
1752.778000	0.047999
1753.776000	0.048065
1754.777000	0.046529
1755.778000	0.046778
1756.778000	0.053230
1757.780000	0.047568
1758.782000	0.048653
1759.781000	0.047975
1760.781000	0.051841
1761.781000	0.047434
1762.782000	0.051909
1763.781000	0.050304
1764.781000	0.051342
1765.779000	0.051503
1766.779000	0.049558
1767.780000	0.050745
1768.782000	0.049742
1769.782000	0.049218
1770.782000	0.046897
1771.783000	0.049316
1772.784000	0.048623
1773.783000	0.046697
1774.783000	0.046374
1775.784000	0.047168
1776.786000	0.047894
1777.788000	0.048113
1778.790000	0.045734
1779.790000	0.046340
1780.790000	0.047635
1781.790000	0.046111
1782.790000	0.046718
1783.791000	0.048897
1784.791000	0.049266
1785.790000	0.048478
1786.794000	0.049287
1787.793000	0.050551
1788.792000	0.049223
1789.793000	0.049886
1790.791000	0.048546
1791.790000	0.047856
1792.790000	0.047708
1793.790000	0.050560
1794.790000	0.049032
1795.790000	0.050429
1796.790000	0.049953
1797.788000	0.052454
1798.787000	0.050158
1799.784000	0.052571
1800.784000	0.053118
1801.783000	0.052598
1802.782000	0.052298
1803.781000	0.051289
1804.781000	0.051060
1805.781000	0.051144
1806.782000	0.049788
1807.784000	0.055526
1808.784000	0.052293
1809.784000	0.050694
1810.783000	0.050380
1811.784000	0.050075
1812.784000	0.050030
1813.785000	0.051517
1814.783000	0.049642
1815.783000	0.050275
1816.785000	0.051843
1817.783000	0.052823
1818.783000	0.051055
1819.782000	0.053245
1820.783000	0.051292
1821.784000	0.051290
1822.784000	0.051953
1823.784000	0.051128
1824.783000	0.048855
1825.783000	0.049985
1826.785000	0.049401
1827.786000	0.046159
1828.785000	0.048337
1829.785000	0.050948
1830.784000	0.046877
1831.786000	0.048647
1832.787000	0.048151
1833.786000	0.047203
1834.788000	0.048622
1835.788000	0.048573
1836.788000	0.047739
1837.789000	0.049753
1838.789000	0.049022
1839.790000	0.050265
1840.790000	0.049315
1841.789000	0.052461
1842.789000	0.049540
1843.790000	0.049043
1844.789000	0.051437
1845.788000	0.049959
1846.787000	0.047604
1847.786000	0.049105
1848.785000	0.049473
1849.785000	0.046927
1850.786000	0.048784
1851.787000	0.048496
1852.788000	0.050077
1853.790000	0.047824
1854.792000	0.048531
1855.791000	0.047244
1856.791000	0.050039
1857.791000	0.046944
1858.791000	0.048306
1859.793000	0.047992
1860.792000	0.047291
1861.793000	0.047149
1862.795000	0.048119
1863.795000	0.048635
1864.796000	0.048508
1865.795000	0.047296
1866.795000	0.046092
1867.795000	0.046751
1868.795000	0.046274
1869.795000	0.047225
1870.795000	0.046105
1871.797000	0.047084
1872.796000	0.047211
1873.796000	0.048537
1874.798000	0.046825
1875.798000	0.048340
1876.797000	0.048550
1877.797000	0.047330
1878.797000	0.047629
1879.797000	0.050392
1880.797000	0.045835
1881.797000	0.049283
1882.799000	0.045489
1883.801000	0.046675
1884.801000	0.047587
1885.802000	0.046435
1886.803000	0.046897
1887.801000	0.044835
1888.801000	0.047389
1889.802000	0.047557
1890.805000	0.046113
1891.805000	0.045324
1892.808000	0.047978
1893.808000	0.046112
1894.810000	0.047768
1895.810000	0.045945
1896.812000	0.045672
1897.811000	0.045721
1898.812000	0.046689
1899.831000	0.046803
1900.843000	0.045609
1901.844000	0.044510
1902.843000	0.044810
1903.845000	0.045645
1904.845000	0.044695
1905.849000	0.045888
1906.851000	0.044251
1907.851000	0.045709
1908.854000	0.044842
1909.855000	0.044357
1910.857000	0.045414
1911.856000	0.044257
1912.856000	0.044165
1913.857000	0.048163
1914.858000	0.046134
1915.859000	0.045554
1916.859000	0.048277
1917.860000	0.046356
1918.859000	0.046239
1919.859000	0.046124
1920.860000	0.048426
1921.859000	0.047823
1922.858000	0.046785
1923.857000	0.047057
1924.856000	0.048196
1925.855000	0.048254
1926.856000	0.045431
1927.859000	0.046480
1928.859000	0.045380
1929.858000	0.046829
1930.858000	0.049093
1931.858000	0.049223
1932.858000	0.048261
1933.859000	0.048340
1934.859000	0.049683
1935.859000	0.048102
1936.858000	0.048762
1937.859000	0.049176
1938.859000	0.050085
1939.859000	0.050311
1940.858000	0.052385
1941.858000	0.048557
1942.858000	0.048744
1943.857000	0.051359
1944.857000	0.052691
1945.858000	0.050596
1946.857000	0.048886
1947.856000	0.048351
1948.856000	0.049469
1949.857000	0.047987
1950.859000	0.048487
1951.858000	0.048576
1952.857000	0.049186
1953.858000	0.049363
1954.858000	0.048955
1955.857000	0.049310
1956.859000	0.046311
1957.858000	0.047379
1958.857000	0.048084
1959.858000	0.047092
1960.856000	0.049645
1961.857000	0.048117
1962.858000	0.048198
1963.859000	0.052361
1964.860000	0.052767
1965.862000	0.051109
1966.861000	0.054863
1967.862000	0.055205
1968.860000	0.054915
1969.861000	0.057898
1970.860000	0.057262
1971.858000	0.058176
1972.856000	0.057163
1973.856000	0.058952
1974.854000	0.058193
1975.853000	0.057552
1976.851000	0.056628
1977.851000	0.055220
1978.850000	0.055449
1979.850000	0.053338
1980.850000	0.053176
1981.850000	0.050024
1982.850000	0.049146
1983.851000	0.048233
1984.850000	0.051023
1985.849000	0.048861
1986.847000	0.046244
1987.845000	0.044330
1988.847000	0.047767
1989.847000	0.043853
1990.849000	0.043666
1991.851000	0.045039
1992.853000	0.046463
1993.855000	0.046199
1994.855000	0.049369
1995.854000	0.046909
1996.853000	0.049244
1997.853000	0.048709
1998.866000	0.053633
1999.877000	0.053093
2000.877000	0.055024
2001.876000	0.055439
2002.896000	0.056059
2003.897000	0.057684
2004.916000	0.058902
2005.914000	0.057692
2006.915000	0.058721
2007.914000	0.057473
2008.914000	0.055091
2009.915000	0.054709
