x-axis,1,2,3
second,Volt,Volt,Volt
-1.25611200E+00,-25.08793783E+00,+65.70349E-03,-57.41204E-03
-1.25608000E+00,-25.65326448E+00,+80.15073E-03,-34.79898E-03
-1.25604800E+00,-26.53266148E+00,+80.15073E-03,-22.23616E-03
-1.25601600E+00,-25.65326448E+00,+80.15073E-03,-115.20099E-03
-1.25598400E+00,-26.53266148E+00,+80.15073E-03,-80.02511E-03
-1.25595200E+00,-25.08793783E+00,+80.15073E-03,-137.81405E-03
-1.25592000E+00,-25.08793783E+00,+80.15073E-03,-115.20099E-03
-1.25588800E+00,-25.08793783E+00,+80.15073E-03,-57.41204E-03
-1.25585600E+00,-25.08793783E+00,+80.15073E-03,-57.41204E-03
-1.25582400E+00,-24.52261119E+00,+85.80399E-03,-57.41204E-03
-1.25579200E+00,-23.64321418E+00,+88.94470E-03,-80.02511E-03
-1.25576000E+00,-24.52261119E+00,+71.35676E-03,-92.58792E-03
-1.25572800E+00,-24.20854083E+00,+100.25123E-03,+376.90E-06
-1.25569600E+00,-27.09798813E+00,+88.94470E-03,-57.41204E-03
-1.25566400E+00,-27.66331478E+00,+71.35676E-03,-57.41204E-03
-1.25563200E+00,-28.54271178E+00,+94.59796E-03,-102.63817E-03
-1.25560000E+00,-27.09798813E+00,+80.15073E-03,-172.98993E-03
-1.25556800E+00,-27.09798813E+00,+74.49746E-03,-80.02511E-03
-1.25553600E+00,-27.09798813E+00,+65.70349E-03,-115.20099E-03
-1.25550400E+00,-26.53266148E+00,+85.80399E-03,-80.02511E-03
-1.25547200E+00,-25.65326448E+00,+100.25123E-03,-115.20099E-03
-1.25544000E+00,-26.53266148E+00,+100.25123E-03,-57.41204E-03
-1.25540800E+00,-25.65326448E+00,+94.59796E-03,-57.41204E-03
-1.25537600E+00,-26.53266148E+00,+80.15073E-03,-57.41204E-03
-1.25534400E+00,-25.65326448E+00,+74.49746E-03,-34.79898E-03
-1.25531200E+00,-26.53266148E+00,+71.35676E-03,+376.90E-06
-1.25528000E+00,-25.08793783E+00,+94.59796E-03,-80.02511E-03
-1.25524800E+00,-25.08793783E+00,+80.15073E-03,-115.20099E-03
-1.25521600E+00,-25.08793783E+00,+80.15073E-03,-80.02511E-03
-1.25518400E+00,-25.65326448E+00,+85.80399E-03,-160.42712E-03
-1.25515200E+00,-27.09798813E+00,+94.59796E-03,-172.98993E-03
-1.25512000E+00,-26.53266148E+00,+80.15073E-03,-80.02511E-03
-1.25508800E+00,-25.08793783E+00,+74.49746E-03,-69.97486E-03
-1.25505600E+00,-25.08793783E+00,+65.70349E-03,+80.77891E-03
-1.25502400E+00,-25.65326448E+00,+80.15073E-03,-22.23616E-03
-1.25499200E+00,-26.53266148E+00,+85.80399E-03,-160.42712E-03
-1.25496000E+00,-25.08793783E+00,+94.59796E-03,-172.98993E-03
-1.25492800E+00,-25.08793783E+00,+80.15073E-03,-80.02511E-03
-1.25489600E+00,-25.65326448E+00,+85.80399E-03,-115.20099E-03
-1.25486400E+00,-27.09798813E+00,+94.59796E-03,-80.02511E-03
-1.25483200E+00,-25.96733484E+00,+80.15073E-03,-115.20099E-03
-1.25480000E+00,-23.64321418E+00,+85.80399E-03,-34.79898E-03
-1.25476800E+00,-25.08793783E+00,+94.59796E-03,+22.98997E-03
-1.25473600E+00,-24.52261119E+00,+80.15073E-03,-22.23616E-03
-1.25470400E+00,-23.64321418E+00,+80.15073E-03,-115.20099E-03
-1.25467200E+00,-24.52261119E+00,+74.49746E-03,-57.41204E-03
-1.25464000E+00,-23.64321418E+00,+65.70349E-03,-102.63817E-03
-1.25460800E+00,-25.65326448E+00,+80.15073E-03,-150.37687E-03
-1.25457600E+00,-27.09798813E+00,+80.15073E-03,+22.98997E-03
-1.25454400E+00,-27.09798813E+00,+80.15073E-03,+376.90E-06
