Time,Channel A,Channel B
(s),(V),(mV)

0.47500002,0.40827660,23.44432000
0.47550002,0.40827660,21.71392000
0.47600002,0.40711690,22.69356000
0.47650002,0.40711690,21.53996000
0.47700002,0.40827660,22.75155000
0.47750002,0.40711690,19.51964000
0.47800002,0.40711690,19.40672000
0.47850002,0.40827660,19.86755000
0.47900002,0.40827660,21.82989000
0.47950002,0.40827660,22.46467000
0.48000002,0.40827660,24.48195000
0.48050002,0.40827660,22.63558000
0.48100002,0.40711690,22.98349000
0.48150002,0.40711690,20.67629000
0.48200002,0.40711690,20.44435000
0.48250002,0.40589620,22.46467000
0.48300002,0.40589620,21.65594000
0.48350002,0.40711690,22.69356000
0.48400002,0.40711690,23.04147000
0.48450002,0.40711690,20.84719000
0.48500002,0.40711690,22.46467000
0.48550002,0.40711690,22.23273000
0.48600002,0.40711690,20.84719000
0.48650002,0.40589620,21.65594000
0.48700002,0.40711690,20.38636000
0.48750002,0.40827660,21.65594000
0.48800002,0.40711690,22.46467000
0.48850002,0.40827660,21.36601000
0.48900002,0.40711690,22.52266000
0.48950002,0.40589620,22.46467000
0.49000002,0.40711690,21.88787000
0.49050002,0.40711690,21.88787000
0.49100002,0.40711690,21.53996000
0.49150002,0.40589620,23.56029000
0.49200002,0.40711690,22.29072000
0.49250002,0.40711690,22.40669000
0.49300002,0.40711690,22.23273000
0.49350002,0.40711690,22.98349000
0.49400002,0.40711690,21.82989000
0.49450002,0.40589620,22.69356000
0.49500002,0.40589620,21.59795000
0.49550002,0.40589620,23.96313000
0.49600002,0.40589620,20.73122000
0.49650002,0.40589620,20.61831000
0.49700002,0.40589620,23.04147000
0.49750002,0.40589620,23.61827000
0.49800002,0.40589620,22.58064000
0.49850002,0.40589620,22.58064000
0.49900002,0.40589620,22.86752000
0.49950002,0.40589620,21.65594000
0.50000002,0.40589620,23.44432000
0.50050002,0.40589620,24.19507000
0.50100002,0.40711690,23.27036000
0.50150002,0.40473650,22.34870000
0.50200002,0.40711690,22.17475000
0.50250002,0.40473650,22.80953000
0.50300002,0.40589620,23.79223000
0.50350002,0.40473650,21.94586000
0.50400002,0.40589620,23.50230000
0.50450002,0.40589620,24.02112000
0.50500002,0.40589620,21.02115000
0.50550002,0.40473650,21.88787000
0.50600002,0.40473650,22.63558000
0.50650002,0.40589620,22.52266000
0.50700002,0.40589620,21.07913000
0.50750002,0.40589620,21.13712000
0.50800002,0.40473650,23.67626000
0.50850002,0.40473650,21.88787000
0.50900002,0.40473650,23.61827000
0.50950002,0.40473650,23.15744000
0.51000002,0.40473650,22.40669000
0.51050002,0.40357680,21.31108000
0.51100002,0.40357680,22.23273000
0.51150002,0.40357680,23.15744000
0.51200002,0.40473650,21.02115000
